epoch,accuracy,loss,val_accuracy,val_loss
0,0.3231739103794098,1.768478512763977,0.3631930947303772,1.6416207551956177
1,0.43930473923683167,1.4909050464630127,0.4710225760936737,1.450352668762207
2,0.4855271875858307,1.3701728582382202,0.48983004689216614,1.3879410028457642
3,0.5115469098091125,1.2979320287704468,0.5238227844238281,1.2620296478271484
4,0.5285798907279968,1.252692699432373,0.46168848872184753,1.3881404399871826
5,0.5406666994094849,1.2180784940719604,0.5168570876121521,1.308504343032837
6,0.5578389763832092,1.1930476427078247,0.5380328893661499,1.255815029144287
7,0.5621582269668579,1.1713793277740479,0.5426302552223206,1.225816011428833
8,0.5738270282745361,1.1534957885742188,0.5579548478126526,1.1866159439086914
9,0.5740360021591187,1.1413533687591553,0.5518250465393066,1.1975860595703125
10,0.5804103016853333,1.1262730360031128,0.5495960116386414,1.2316584587097168
11,0.5857744812965393,1.1111629009246826,0.5743939876556396,1.1645302772521973
12,0.5902678370475769,1.1019264459609985,0.5682641267776489,1.1687374114990234
13,0.5916611552238464,1.0910288095474243,0.5720256567001343,1.1964054107666016
14,0.5959803462028503,1.0799208879470825,0.5823349356651306,1.1431384086608887
15,0.6015186905860901,1.0721174478530884,0.5858177542686462,1.1178646087646484
16,0.5984185934066772,1.0685588121414185,0.6061577200889587,1.0798240900039673
